Code,Sector_Title,Number_of_US_Entities
4232,Furniture and Home Furnishing Merchant Wholesalers,"21,008"
4233,Lumber and Other Construction Materials Merchant Wholesalers,"37,885"
4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,"63,510"
4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,"14,003"
4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,"40,384"
4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers","24,448"
4238,"Machinery, Equipment, and Supplies Merchant Wholesalers","108,927"
4239,Miscellaneous Durable Goods Merchant Wholesalers,"78,358"
4241,Paper and Paper Product Merchant Wholesalers,"11,388"
4242,Drugs and Druggists' Sundries Merchant Wholesalers,"15,657"
4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers","22,026"
4244,Grocery and Related Product Merchant Wholesalers,"60,262"
4245,Farm Product Raw Material Merchant Wholesalers,"23,405"
4246,Chemical and Allied Products Merchant Wholesalers,"12,796"
4247,Petroleum and Petroleum Products Merchant Wholesalers,"13,817"
4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers","10,822"
4249,Miscellaneous Nondurable Goods Merchant Wholesalers,"103,577"
4251,Wholesale Trade Agents and Brokers,"1,219"
4411,Automobile Dealers,"109,773"
4412,Other Motor Vehicle Dealers,"45,192"
4413,"Automotive Parts, Accessories, and Tire Retailers","78,477"
4441,Building Material and Supplies Dealers,"85,289"
4442,Lawn and Garden Equipment and Supplies Retailers,"18,866"
4451,Grocery and Convenience Retailers,"153,661"
4452,Specialty Food Retailers,"129,874"
4453,"Beer, Wine, and Liquor Retailers","34,060"
4491,Furniture and Home Furnishings Retailers,"118,491"
4492,Electronics and Appliance Retailers,"76,522"
4551,Department Stores,"18,619"
4552,"Warehouse Clubs, Supercenters, and Other General Merchandise Retailers","44,323"
4561,Health and Personal Care Retailers,"132,403"
4571,Gasoline Stations,"63,937"
4572,Fuel Dealers,"13,208"
4581,Clothing and Clothing Accessories Retailers,"195,297"
4582,Shoe Retailers,"19,631"
4583,"Jewelry, Luggage, and Leather Goods Retailers","44,124"
4591,"Sporting Goods, Hobby, and Musical Instrument Retailers","106,399"
4592,Book Retailers and News Dealers,"15,718"
4593,Florists,"28,744"
4594,"Office Supplies, Stationery, and Gift Retailers","61,896"
4595,Used Merchandise Retailers,"38,743"
4599,Other Miscellaneous Retailers,"237,370"
4811,Scheduled Air Transportation,"2,530"
4812,Nonscheduled Air Transportation,"2,541"
4821,Rail Transportation,"2,609"
4831,"Deep Sea, Coastal, and Great Lakes Water Transportation","1,426"
4832,Inland Water Transportation,"3,313"
4841,General Freight Trucking,"225,228"
4842,Specialized Freight Trucking,"28,758"
4851,Urban Transit Systems,"7,664"
4852,Interurban and Rural Bus Transportation,990
4853,Taxi and Limousine Service,"29,557"
4854,School and Employee Bus Transportation,"2,429"
4855,Charter Bus Industry,"4,117"
4859,Other Transit and Ground Passenger Transportation,"4,516"
4861,Pipeline Transportation of Crude Oil,921
4862,Pipeline Transportation of Natural Gas,"1,787"
4869,Other Pipeline Transportation,451
4871,"Scenic and Sightseeing Transportation, Land",349
4872,"Scenic and Sightseeing Transportation, Water",481
4879,"Scenic and Sightseeing Transportation, Other",300
4881,Support Activities for Air Transportation,"18,800"
4882,Support Activities for Rail Transportation,"17,509"
4883,Support Activities for Water Transportation,"3,651"
4884,Support Activities for Road Transportation,"34,394"
4885,Freight Transportation Arrangement,"77,737"
4889,Other Support Activities for Transportation,"167,989"
4911,Postal Service,"22,898"
4921,Couriers and Express Delivery Services,"9,881"
4922,Local Messengers and Local Delivery,"4,642"
4931,Warehousing and Storage,"34,114"
5121,Motion Picture and Video Industries,"83,193"
5122,Sound Recording Industries,"13,548"
5131,"Newspaper, Periodical, Book, and Directory Publishers","45,993"
5132,Software Publishers,"26,792"
5161,Radio and Television Broadcasting Stations,"7,963"
5162,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","19,472"
5171,Wired and Wireless Telecommunications (except Satellite),"68,444"
5174,Satellite Telecommunications,183
5178,All Other Telecommunications,"53,658"
5182,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","21,793"
5192,"Web Search Portals, Libraries, Archives, and Other Information Services","29,424"
5211,Monetary Authorities-Central Bank,32
5221,Depository Credit Intermediation,"84,753"
5222,Nondepository Credit Intermediation,"63,124"
5223,Activities Related to Credit Intermediation,"46,902"
5231,Securities and Commodity Contracts Intermediation and Brokerage,"38,973"
5232,Securities and Commodity Exchanges,457
5239,Other Financial Investment Activities,"259,124"
5241,Insurance Carriers,"30,961"
5242,"Agencies, Brokerages, and Other Insurance Related Activities","218,020"
5251,Insurance and Employee Benefit Funds,"1,646"
5259,Other Investment Pools and Funds,"27,427"
5311,Lessors of Real Estate,"220,556"
5312,Offices of Real Estate Agents and Brokers,"363,689"
5313,Activities Related to Real Estate,"217,381"
5321,Automotive Equipment Rental and Leasing,"38,422"
5322,Consumer Goods Rental,"34,467"
5323,General Rental Centers,733
5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,"48,195"
5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"3,033"
5411,Legal Services,"359,026"
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services","188,917"
5413,"Architectural, Engineering, and Related Services","268,147"
5414,Specialized Design Services,"332,021"
5415,Computer Systems Design and Related Services,"251,161"
5416,"Management, Scientific, and Technical Consulting Services","750,642"
5417,Scientific Research and Development Services,"43,863"
5418,"Advertising, Public Relations, and Related Services","63,457"
5419,"Other Professional, Scientific, and Technical Services","232,512"
5511,Management of Companies and Enterprises,"93,116"
5611,Office Administrative Services,"155,375"
5612,Facilities Support Services,"4,845"
5613,Employment Services,"63,561"
5614,Business Support Services,"155,592"
5615,Travel Arrangement and Reservation Services,"59,656"
5616,Investigation and Security Services,"61,348"
5617,Services to Buildings and Dwellings,"397,309"
5619,Other Support Services,"608,069"
5621,Waste Collection,"10,879"
5622,Waste Treatment and Disposal,"4,479"
5629,Remediation and Other Waste Management Services,"32,766"
6111,Elementary and Secondary Schools,"203,791"
6112,Junior Colleges,"5,953"
6113,"Colleges, Universities, and Professional Schools","41,017"
6114,Business Schools and Computer and Management Training,"6,769"
6115,Technical and Trade Schools,"11,878"
6116,Other Schools and Instruction,"111,626"
6117,Educational Support Services,"49,309"
6211,Offices of Physicians,"417,369"
6212,Offices of Dentists,"213,216"
6213,Offices of Other Health Practitioners,"294,965"
6214,Outpatient Care Centers,"78,173"
6215,Medical and Diagnostic Laboratories,"18,043"
6216,Home Health Care Services,"59,567"
6219,Other Ambulatory Health Care Services,"152,651"
6221,General Medical and Surgical Hospitals,"44,060"
6222,Psychiatric and Substance Abuse Hospitals,"3,584"
6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,"2,490"
6231,Nursing Care Facilities (Skilled Nursing Facilities),"35,673"
6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities","7,975"
6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,"27,777"
6239,Other Residential Care Facilities,"14,839"
6241,Individual and Family Services,"193,073"
6242,"Community Food and Housing, and Emergency and Other Relief Services","6,467"
6243,Vocational Rehabilitation Services,"11,551"
6244,Child Care Services,"114,458"
7111,Performing Arts Companies,"38,830"
7112,Spectator Sports,"24,813"
7113,"Promoters of Performing Arts, Sports, and Similar Events","12,516"
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","9,257"
7115,"Independent Artists, Writers, and Performers","55,207"
7121,"Museums, Historical Sites, and Similar Institutions","43,181"
7131,Amusement Parks and Arcades,"4,601"
7132,Gambling Industries,"1,000"
7139,Other Amusement and Recreation Industries,"196,475"
7211,Traveler Accommodation,"121,358"
7212,RV (Recreational Vehicle) Parks and Recreational Camps,"15,612"
7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps","2,421"
7223,Special Food Services,"44,602"
7224,Drinking Places (Alcoholic Beverages),"76,407"
7225,Restaurants and Other Eating Places,"671,527"
8111,Automotive Repair and Maintenance,"323,244"
8112,Electronic and Precision Equipment Repair and Maintenance,"33,176"
8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,"43,141"
8114,Personal and Household Goods Repair and Maintenance,"109,640"
8121,Personal Care Services,"416,214"
8122,Death Care Services,"35,731"
8123,Drycleaning and Laundry Services,"38,631"
8129,Other Personal Services,"159,433"
8131,Religious Organizations,"369,168"
8132,Grantmaking and Giving Services,"11,655"
8133,Social Advocacy Organizations,"78,051"
8134,Civic and Social Organizations,"172,036"
8139,"Business, Professional, Labor, Political, and Similar Organizations","165,373"
8141,Private Households,0
9211,"Executive, Legislative, and Other General Government Support","84,089"
9221,"Justice, Public Order, and Safety Activities","83,339"
9231,Administration of Human Resource Programs,"20,292"
9241,Administration of Environmental Quality Programs,"20,115"
9251,"Administration of Housing Programs, Urban Planning, and Community Development","8,412"
9261,Administration of Economic Programs,"22,796"
9271,Space Research and Technology,170
9281,National Security and International Affairs,"16,998"
