NAICS,is_open,duration
444130,True,52.13815789473684
532290,True,61.151315789473685
621340,True,97.17105263157896
488000,True,47.203947368421055
541219,True,129.2763157894737
561790,True,72.69736842105263
713900,True,106.28289473684212
621111,True,48.48684210526316
512100,True,82.82894736842105
621399,True,408.5526315789474
621610,True,65.23026315789474
233210,True,271.8421052631579
235110,True,54.01315789473684
812990,True,76.1842105263158
425120,True,49.078947368421055
812990,True,52.13815789473684
711100,True,169.2763157894737
811110,True,93.32236842105264
512100,False,12.23684210526316
424400,True,97.17105263157896
722110,True,52.36842105263158
442200,True,119.11184210526316
623000,True,68.19078947368422
812990,True,56.151315789473685
561110,True,97.17105263157896
722300,True,54.17763157894737
811190,True,54.078947368421055
541990,True,74.67105263157895
339110,True,155.16447368421052
722300,True,49.67105263157895
531100,True,102.86184210526316
512100,True,217.33552631578948
722211,False,10.394736842105264
492000,True,16.11842105263158
622000,True,46.151315789473685
452000,True,54.53947368421053
541219,True,103.58552631578948
541800,True,69.40789473684211
811110,True,55.69078947368421
315000,True,48.881578947368425
711510,True,78.42105263157895
531310,True,49.11184210526316
561720,True,58.7171052631579
444190,True,96.90789473684212
722300,True,21.71052631578948
711510,True,121.2171052631579
541800,True,98.45394736842104
311400,True,49.9342105263158
621399,True,54.703947368421055
541700,True,109.21052631578948
811110,True,51.48026315789474
812990,True,105.65789473684212
621610,True,109.21052631578948
541219,True,121.2171052631579
812112,True,109.21052631578948
812990,True,83.6842105263158
235310,True,48.453947368421055
812990,True,133.22368421052633
238290,True,120.5921052631579
425120,True,49.11184210526316
512100,True,56.151315789473685
711100,True,164.8684210526316
811110,True,108.0592105263158
454111,True,76.64473684210526
424400,True,47.631578947368425
235110,True,426.6118421052632
621210,True,100.78947368421052
445210,True,48.28947368421053
235410,True,382.5657894736842
423100,True,116.25
446110,True,103.22368421052632
339900,True,97.17105263157896
561720,True,10.75657894736842
621111,True,397.5657894736842
424400,True,49.11184210526316
561730,True,109.07894736842104
561720,True,395.7894736842105
233210,True,48.0592105263158
423940,True,52.13815789473684
311800,True,52.66447368421053
235310,True,307.5
812990,True,109.21052631578948
492000,True,48.42105263157895
722110,False,180.19736842105263
493100,True,217.33552631578948
531100,True,367.5657894736842
235210,True,257.1381578947369
452000,True,108.84868421052632
532290,True,111.48026315789474
711510,True,50.82236842105264
999999,True,94.21052631578948
561600,True,47.631578947368425
448150,True,64.21052631578948
812990,True,94.27631578947368
424940,True,49.11184210526316
541800,True,49.11184210526316
812990,True,205.32894736842107
531100,True,117.26973684210527
541990,False,72.66447368421053
711510,True,133.22368421052633
722110,True,49.11184210526316
624100,True,102.76315789473684
812990,True,61.151315789473685
624410,True,105.19736842105264
812990,True,131.2828947368421
452000,True,84.86842105263159
524210,True,129.2763157894737
541400,False,35.98684210526316
541400,True,73.15789473684211
621610,True,49.80263157894737
235420,True,109.27631578947368
531310,True,49.11184210526316
446120,True,52.828947368421055
812990,True,54.9671052631579
812990,True,97.17105263157896
424950,True,152.26973684210526
233210,True,53.38815789473684
424990,True,54.14473684210527
561720,True,97.17105263157896
812990,True,75.16447368421053
532290,False,149.21052631578948
621610,True,68.98026315789474
561730,True,288.3881578947369
888888,True,85.16447368421053
233210,True,163.81578947368422
454390,True,67.30263157894737
233210,True,189.8684210526316
812930,False,8.980263157894738
448310,True,104.60526315789474
561720,True,133.0921052631579
812990,True,86.1842105263158
541920,True,369.67105263157896
541310,True,288.3881578947369
561720,False,232.2697368421053
561740,True,19.144736842105264
233210,True,364.5394736842105
423800,True,363.51973684210526
453920,True,66.57894736842105
424990,True,337.4671052631579
711300,True,322.4671052631579
424400,True,475.3289473684211
561450,True,393.7171052631579
454390,True,60.46052631578948
235310,True,354.67105263157896
711300,True,61.11842105263158
711510,True,82.20394736842105
512200,True,73.15789473684211
722110,True,49.11184210526316
493100,False,42.17105263157895
424300,True,49.11184210526316
812990,True,119.73684210526316
315000,True,54.21052631578948
